"","AirPollutionLevel","Longitude","Latitude","Zone"
"431",28.15,15.4408,41.5467,"Center"
"432",28.1,9.49167,40.9275,"South"
"433",28.023046,13.5289,45.81,"North"
"434",28,12.2664,41.8894,"Center"
"435",28,11.8025,42.0917,"Center"
"436",28,12.6186,43.3178,"Center"
"437",28,12.4197,42.5519,"Center"
"438",28,11.8159,42.0736,"Center"
"439",28,8.1598,45.6642,"North"
"440",28,13.3831,42.3642,"Center"
"441",28,11.325,43.3378,"Center"
"442",28,11.2492,43.7653,"Center"
"443",27.94,15.8674,40.3242,"South"
"444",27.872917,9.81583,44.1101,"North"
"445",27.7,13.5431,45.843,"North"
"446",27.5,13.688,37.9779,"South"
"447",27.47,17.9606,40.6458,"South"
"448",27.408333,15.3015,38.183,"South"
"449",27.38875,9.95503,44.1109,"North"
"450",27.13,16.5792,38.9183,"South"
"451",27,13.6744,41.67,"Center"
"452",27,12.4681,43.0669,"Center"
"453",27,11.7844,42.1022,"Center"
"454",27,12.6117,43.2739,"Center"
"455",27,12.4017,43.9081,"Center"
"456",27,11.1419,43.4728,"Center"
"457",27,11.0378,45.59,"North"
"458",27,10.3327,43.5689,"Center"
"459",26.95,15.8914,40.2884,"South"
"460",26.8,8.43028,39.1772,"South"
"461",26.73,9.91861,44.1547,"North"
"462",26.7,16.6692,38.8705,"South"
"463",26.67,8.20694,44.0519,"North"
"464",26.67,15.9007,40.3349,"South"
"465",26.620833,8.20648,44.3973,"North"
"466",26.54019,9.32889,40.3189,"South"
"467",26.495833,8.47306,44.3128,"North"
"468",26.44,15.7227,41.0671,"South"
"469",26.3,8.55139,40.7103,"South"
"470",26.2,17.2536,40.5211,"South"
"471",26.05,15.9094,41.6283,"Center"
"472",26.01,15.9548,40.3156,"South"
"473",26,11.1192,42.7786,"Center"
"474",26,12.1092,42.4219,"Center"
"475",26,9.0524,44.7633,"North"
"476",26,10.3217,43.52,"Center"
"477",25.64,15.945,41.6653,"Center"
"478",25.6,13.6004,37.2993,"South"
"479",25.458333,11.944,46.7974,"North"
"480",25.4,10.3725,46.4703,"North"
"481",25.270833,13.6747,43.3356,"Center"
"482",25.1,14.2815,37.5641,"South"
"483",25,10.5342,42.9392,"Center"
"484",25,11.9,42.161,"Center"
"485",25,11.8177,42.0989,"Center"
"486",25,12.7372,42.7397,"Center"
"487",25,8.5655,45.9303,"North"
"488",25,12.1367,42.7372,"Center"
"489",24.991304,13.4286,43.285,"Center"
"490",24.75343,14.6747,41.5542,"Center"
"491",24,11.7426,42.16,"Center"
"492",24,10.5242,42.9319,"Center"
"493",23.9,8.32472,40.5533,"South"
"494",23.821151,13.011,46.4019,"North"
"495",23.72,15.8117,40.6254,"South"
"496",23.29,16.2345,38.3909,"South"
"497",23,11.9358,42.1522,"Center"
"498",22.8,13.3367,42.9006,"Center"
"499",22.304602,13.855,45.6473,"North"
"500",22,12.2247,43.9275,"Center"
"501",21.92,8.99222,44.3964,"North"
"502",21.63205,8.52139,39.1656,"South"
"503",21,12.3608,46.1625,"North"
"504",21,11.865,42.7447,"Center"
"505",20.6,8.39389,40.8319,"South"
"506",20.3,9.21639,39.8425,"South"
"507",20,7.2454,45.4302,"North"
"508",20,12.9619,42.5725,"Center"
"509",20,12.5469,43.3675,"Center"
"510",20,11.7932,42.1373,"Center"
"511",20,9.36693,44.7347,"North"
"512",20,10.9261,44.15,"North"
"513",20,10.4303,44.2997,"North"
"514",19.4,13.4747,46.5101,"North"
"515",19.2,8.77306,40.2564,"South"
"516",19,10.958,46.0825,"North"
"517",19,14.1036,41.7794,"Center"
"518",19,8.27528,40.8092,"South"
"519",18,11.9086,42.1578,"Center"
"520",18,10.8817,43.2478,"Center"
"521",18,11.9017,43.6603,"Center"
"522",17.1215,14.2336,41.5972,"Center"
"523",16.66665,9.32167,40.3206,"South"
"524",11.94844,9.69444,40.575,"South"
"525",11,8.2559,46.3148,"North"
