"","Country","Total population in people","Population density in people/km^2","GDP  (current US$)","GDP per capita, PPP (current  international $)","Renewable energy consumption (% of total)","Industy value added (% of GDP)","Agriculture value added (% of GDP)","Forest area (in km^2)","Primary energy consumption (TWh)","Primary energy consumption per capita (kWh/person)","pm10_avg","no2_avg","o3_avg","pm25_avg"
"27","Poland",37974750,124.031583760656,588782567765.872,32027.6027335558,11.27,28.7573136403095,2.41461815767273,94590,12196346435546876,32162017578125,59.8757552252252,17.9480586014493,115.645443291262,23.6273125894737
"28","Portugal",10283822,112.261935951514,242313116577.967,34928.5435337746,27.47,19.2993079718,2.03652988278957,33120,3076907043457031,30000482421875,29.4578167954545,19.9787410222222,107.270714285714,7.74881358333333
"29","Romania",19473970,84.6399947844228,243317079358.636,29562.3724980694,23.03,28.9186708716235,4.56455945444835,69290.5,3964214172363281,20322935546875,41.34,22.0617305258621,98.8210223626374,18.6104258571429
"30","Serbia",6982604,79.8376857992225,50640650221.4622,17714.5070534457,21.05,25.4975160125341,6.34278337092698,27220,19771514892578124,22460634765625,74.0203021666667,25.584825875,97.8543367142857,NA
"31","Slovakia",5446771,113.285586522463,106137924015.593,31214.5925736482,12.43,29.3040678314195,2.14505211161055,19259,19107235717773440,3503975,43.7278543939394,18.98806092,117.120546875,17.99984784375
"32","Slovenia",2073894,102.992292564709,54177882425.8431,38961.5443523867,20.61,28.3031431227637,2.2453747955101,12419,8248029327392578,3969528515625,43.2105263157895,18.6675692222222,121.012931583333,15.3699915
"33","Spain",46797754,93.6697920792501,1421702715218.04,40696.3876815487,17.42,19.8659477563402,2.75621978985911,185635.9,16370802001953124,35060609375,29.6058451213873,16.3051432386831,108.75430092804,9.3280566178344
"34","Sweden",10175214,24.9814588688378,555455371487.089,53521.6306428288,51.54,22.0024372937424,1.39278662122906,279800,6246076049804688,6263846484375,33.774105673913,14.4570366588235,103.914453038462,6.46760570967742
"35","Switzerland",8514329,215.465192227053,725568717468.001,71660.2068398902,24.2,24.4239571771375,0.643750702339479,12622.3,3217949523925781,3774448828125,25.3327533333333,22.2652861818182,130.994245741935,10.896071125
"36","Turkey",82809304,107.596252744825,778471900960.981,27802.5477784358,11.83,29.4046222941905,5.77601221014132,219083.6,1767595703125,21467009765625,83.1961196470588,30.7739195769231,92.8441692285714,22.7252093783784
"37","United Kingdom",66460344,274.708981936924,2878152147315.82,47573.4880155177,10.99,17.7604627771263,0.566929790813985,31730,223762841796875,3332696484375,27.4008705384615,24.0838930263158,96.1147989866667,10.0259765571429
